brand,rating,review,date_experience
Shein,1,Délai de livraison cette fois non accepté J’ai payer pour une livraison urgente alors que j’ai reçue mon colis meme délais de livraison standard 😔,08 février 2025
Shein,3,Pantalon avec une pas très  jolie coupe dommage,08 février 2025
Shein,2,2 articles étaient vraiment trop petits et impossible de les retourner car pas accepté dans les conditions générales de vente. (Bodys),08 février 2025
Shein,1,"je n’est pas reçu mon colis… après avoir aperçu les photo que le livreur a envoyé j’ai remarqué que ce n’était pas ma boîte au lettre ni mon adresse dessus, heureusement que les personne qui on réceptionner mon colis était honnête, j’ai pu récupérer mon colis par moi-même alors que sur le site j’avais bien écrit la bonne adresse, je suis mécontente de la livraison aucune erreur de ma part, tout est à l’erreur du livreur  aurait pu lire correctement mon adresse ça m’aurait évité de prendre ma voiture pour aller chercher mon colis chez quelqu’un d’autre",08 février 2025
Shein,1,Commande livrée à la mauvaise adresse et mauvaise personne selon la photo envoyer par le livreur. Je n'ai rien dans ma boîte aux lettres.,08 février 2025
Shein,1,Mon colis a disparu de ma boîte aux lettres. Sans preuve aucun remboursement prévue. Vraiment déçu,24 janvier 2025
Shein,3,Je pense c'est pas mal,22 janvier 2025
Shein,3,"Beaucoup de choix, certains produits ne sont pas cohérent avec les photos",07 février 2025
Shein,1,Je suis vraiment très déçue. J’ai renvoyé ma commande numéro GSO10X35900MQAP depuis le mois de décembre et je n’ai à ce jour aucun remboursement. J’ai signalé via l’application que je retournais la commande. Impossible de contacter quelqu’un c’est limite du vol. Je souhaite être remboursée rapidement . Comment faire ?,09 février 2025
Shein,3,Pas toujours  correct dans l'ensemble  mais  certains articles sont bien,07 février 2025
Shein,3,"shein est pratique pour trouver beaucoup de choses mais je trouve que les prix ont beaucoup augmentés et j’ai eu des problèmes de livraisons. De plus la qualité des vêtements n’est pas top, je recommande pour les gadgets surtout",24 janvier 2025
Shein,2,Articles volés dans ma livraison (avec une pochette déchirée et refermée avec un scotch LaPoste) mise dans la boîte aux lettres alors que j'étais chez moi à attendre!Il y a des voleurs dans les Services de livraison qui agissent en toute impunité...,07 février 2025
